rest_type,rest_name,rest_score,rest_votes,rest_reviews,rest_cuisine,rest_zone,rest_addressrest_cost,rest_timings,rest_featured_in,rest_call
"['Casual Dining', ',', 'Bar']",['SodaBottleOpenerWala'],['4.1'],['1630 votes'],['1233 reviews'],['Parsi'],['Bandra Kurla Complex'],"['Ground Floor, The Capital Building, G Block, Bandra Kurla Complex, Mumbai']","['\xe2\x82\xb91,300']",['11:30 AM to 12:50 AM (Mon-Sun)'],"['All-day dining', u'Irani caf\xe9s', 'Insta-worthy']",['022 40035678']
"['Casual Dining', ',', 'Pub']","[""Chili's""]",['4.2'],['2880 votes'],['1890 reviews'],"['American', 'Mexican', 'Tex-Mex']",['Powai'],"['13, Ventura Building, Hiranandani Business Park, Central Avenue Road, Powai, Mumbai']","['\xe2\x82\xb91,800']",['12 Noon to 1:30 AM (Mon-Sun)'],"['Happy hours', 'Trending this week']",['022 30151919']
['Casual Dining'],['World Street Food'],['4.2'],['754 votes'],['676 reviews'],"['North Indian', 'Asian', 'European']",['Nariman Point'],"['B Wing, Dalamal Towers,  Opp. Manora MLA Hostel, Free Press Journal Marg, Nariman Point, Mumbai']","['\xe2\x82\xb91,000']",['12 Noon to 11:30 PM (Mon-Sun)'],['empty'],"['022 22835476, +91 9699614614']"
['Casual Dining'],['SpiceKlub'],['4.1'],['3279 votes'],['1937 reviews'],['North Indian'],['Lower Parel'],"['8A, Janta Industrial Estate, Opposite Phoenix Mills, Senapati Bapat Road, Lower Parel, Mumbai']","['\xe2\x82\xb91,500']","['12 Noon to 4 PM, 6:30 PM to 12 Midnight (Mon-Fri),12...']",['Insta-worthy'],['022 46104610']
['Quick Bites'],['Jimis Burger'],['4.7'],['1069 votes'],['720 reviews'],['Fast Food'],['Malad West'],"[""Shop No. 8, Navjeevan CHS, Evershine Nagar,  Opp. People's Gym, Malad (West), Mumbai - 400064, Malad West, Mumbai""]",['\xe2\x82\xb9500'],"['Closed (Mon),1 PM to 11 PM (Tue-Sun)']",['Kickass burgers'],"['022 28882645, +91 8879485752']"
"['Casual Dining', ',', 'Bar']",['The Sassy Spoon'],['4.2'],['1410 votes'],['879 reviews'],"['European', 'Mediterranean', 'Asian', 'Modern Indian', 'Finger Food', 'Desserts']","['Hill Road, Bandra West']","['Classic Corner Building, Next to Holy Family Hospital, Hill Road, Bandra West']","['\xe2\x82\xb91,800']",['12 Noon to 12 Midnight (Mon-Sun)'],"['All-day dining', ""Valentine's Day Specials"", 'European & Mediterranean']",['022 61054556']
['Pub'],['Verbena - BrewPub & SkyGarden'],['4.0'],['48 votes'],['42 reviews'],"['Mediterranean', 'European', 'Mughlai', 'Finger Food']",['Lower Parel'],"['4th Floor , Trade View Building, Kamla Mill Compound, Lower Parel, Mumbai']","['\xe2\x82\xb92,000']",['4 PM to 12 Midnight (Mon-Sun)'],"[""Valentine's Day Specials"", 'Newly opened', 'Trending this week']",['022 33956113']
['Quick Bites'],['The J'],['4.3'],['1710 votes'],['1140 reviews'],['Fast Food'],['Churchgate'],"['3, Vaswani Mansions, Dinshaw Vachha Road, Opposite HR College, Churchgate, Mumbai']",['\xe2\x82\xb9600'],"['8 AM to 12 Midnight (Mon-Sat),1 PM to 12 Midnight (Sun)']",['empty'],['022 22844650']
['Fine Dining'],['Global Fusion'],['4.4'],['4216 votes'],['1880 reviews'],"['Chinese', 'Japanese', 'Asian', 'North Indian']",['Marol'],"['B 1, Times Square Tech Park, Andheri Kurla Road, Sakinaka Junction, Andheri East, Marol, Mumbai']","['\xe2\x82\xb93,500']","['12 Noon to 3:30 PM, 7 PM to 12 Midnight (Mon-Sun)']",['Pan-Asian delicacies'],"['022 42631000, +91 9167666739']"
['Casual Dining'],"[""Joey's Pizza""]",['4.6'],['2499 votes'],['1377 reviews'],['Pizza'],['Malad West'],"['Shop 1, Plot D, Samruddhi Complex, Chincholi Bunder Road, Mindspace, Malad West, Mumbai']",['\xe2\x82\xb9800'],['11 AM to 12:30 AM (Mon-Sun)'],['Value for money'],['022 33951619']
