rest_type,rest_name,rest_score,rest_votes,rest_reviews,rest_cuisine,rest_zone,rest_addressrest_cost,rest_timings,rest_featured_in,rest_call
['Casual Dining'],['Flavours - Grand Hometel'],['3.3'],['95 votes'],['61 reviews'],"['North Indian', 'Chinese', 'Continental']",['Malad West'],"['Grand Hometel Hotel, Off New Link Road, Chincholi Bunder, Next to Inorbit Mall, Malad West, Mumbai']","['\xe2\x82\xb91,500']",['24 Hours (Mon-Sun)'],['empty'],"['022 28797979, 022 42797979']"
['Casual Dining'],['Inside China'],['3.5'],['214 votes'],['124 reviews'],"['Chinese', 'Thai', 'Seafood']",['Kharghar'],"['7 & 8, Tharwani Heritage, Sector 7, Kharghar, Navi Mumbai']","['\xe2\x82\xb91,200']","['11 AM to 3:30 PM, 7 PM to 11 PM (Mon-Sun)']",['empty'],"['+91 8080280807, 022 27741199']"
['Casual Dining'],['Amey'],['3.5'],['181 votes'],['99 reviews'],"['North Indian', 'South Indian', 'Maharashtrian', 'Street Food', 'Chinese']",['Bandra East'],"['Opposite MIG Cricket Club, Bandra East, Mumbai']",['\xe2\x82\xb9500'],['8 AM to 11 PM (Mon-Sun)'],['T&C'],"['+91 7303038181, +91 9833338181']"
['Casual Dining'],['OC-The Oriental Cuisine'],['3.7'],['179 votes'],['148 reviews'],"['Asian', 'Thai', 'Chinese', 'Japanese']",['Mulund West'],"['Shop 4, Matruchaya Society, SN Road, Near Mulund Court, Mulund West, Mumbai']",['\xe2\x82\xb9800'],['12 Noon to 11:30 PM (Mon-Sun)'],['Get 10% off all home-delivery orders above Rs. 300. Valid only when you order online on Zomato.'],['022 33956249']
"['Casual Dining', ',', 'Bar']",['Mr. Baozi - Pan Asian Gastro Pub'],['3.1'],['52 votes'],['42 reviews'],"['Asian', 'Japanese', 'Vietnamese', 'Beverages']",['Juhu'],"['Unit 24, Juhu Supreme Shopping Centre, J.V.P.D, Gulmohar Road, JVPD Scheme, Juhu, Mumbai']","['\xe2\x82\xb91,300']","['12 Noon to 4 PM, 6:30 PM to 1 AM (Mon-Sun)']",['empty'],['022 33956178']
['Casual Dining'],['Pizza Caprina'],['3.6'],['199 votes'],['123 reviews'],"['Pizza', 'Fast Food']",['Chembur'],"['2, Arihant Shop Owner Society, Subhash Nagar, Chembur, Mumbai']",['\xe2\x82\xb9650'],['11 AM to 11:30 PM (Mon-Sun)'],['Get 10% off all home-delivery orders above Rs. 400. Maximum discount up to Rs. 200. Valid only when you order online on Zomato.'],"['022 25201264, 022 65651533']"
['Casual Dining'],"[""It's Mirchi - Ramee Guestline Hotel""]",['3.4'],['127 votes'],['81 reviews'],"['Continental', 'North Indian', 'Italian']","['Ramee Guestline Hotel, Juhu']","['Ramee Guestline Hotel, 462, A B Nair Road, Juhu, Mumbai']","['\xe2\x82\xb92,000']",['24 Hours (Mon-Sun)'],"['', '']",['022 33126075']
['Casual Dining'],['PizzaVito'],['3.0'],['175 votes'],['102 reviews'],"['Pizza', 'Italian', 'Fast Food']",['CBD-Belapur'],"['3-6, Lords, Sector 15, CBD-Belapur, Navi Mumbai']",['\xe2\x82\xb9900'],['11 AM to 11 PM (Mon-Sun)'],"['T&C', 'T&C']",['022 33951537']
['Casual Dining'],['Coconut Lagoon'],['3.5'],['158 votes'],['102 reviews'],"['North Indian', 'Chinese', 'Mughlai', 'Fast Food']","['Vasant Vihar, Thane West']","['103 to 108, Block 3, Emerald Plaza, Hiranandani Medows, Vasant Vihar, Thane West']",['\xe2\x82\xb9650'],['12 Noon to 12:30 AM (Mon-Sun)'],['empty'],"['022 21731015, 022 61857682']"
['Casual Dining'],['Maharana Kamath Pure Veg'],['3.2'],['199 votes'],['122 reviews'],"['Gujarati', 'Chinese', 'North Indian', 'Street Food', 'Beverages', 'South Indian']",['Chembur'],"['Chauhan Apartment, Sion Trombay Road, Chemburnaka, Chembur, Mumbai']",['\xe2\x82\xb9800'],['8 AM to 11:45 PM (Mon-Sun)'],['empty'],['022 33956101']
['Quick Bites'],['Paninaro'],['2.7'],['186 votes'],['94 reviews'],"['Healthy Food', 'Salad', 'Pizza', 'Italian']",['Lower Parel'],"['Peninsula Club, Peninsula Corporate Park, Lower Parel, Mumbai']",['\xe2\x82\xb9550'],"['8:30 AM to 8:30 PM (Mon-Sat),Closed (Sun)']",['Get 40% off all home-delivery orders above Rs. 250. Valid only when you order online on Zomato from 07:00 pm to 08:30 pm.'],['022 65655570']
['Casual Dining'],['Malwani Aswad'],['4.1'],['152 votes'],['89 reviews'],"['Malwani', 'Seafood', 'North Indian']",['Vile Parle East'],"['Shahaji Raje Marg, Bhuta High School, Vile Parle East, Mumbai']",['\xe2\x82\xb9450'],"['Closed (Mon),11 AM to 3:30 PM, 7 PM to 11:30 PM...']",['Super seafood'],"['022 26845842, 022 26837386']"
"['Bakery', ',', 'Dessert Parlor']","[""Baker's Treat""]",['3.9'],['131 votes'],['67 reviews'],"['Bakery', 'Desserts']",['Vashi'],"['1, Shirin Apartments, Sector 29, Vashi, Navi Mumbai']",['\xe2\x82\xb9200'],['9 AM to 11:30 PM (Mon-Sun)'],['Sweet tooth'],['022 30151761']
['Casual Dining'],['Bansuri'],['3.3'],['199 votes'],['104 reviews'],"['North Indian', 'Continental', 'Chinese']",['Mulund East'],"['Ashok Apartment, Near Deshmukh Garden, MP Road, Mulund East, Mumbai']",['\xe2\x82\xb9800'],"['11 AM to 3 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],"['022 21637691, 022 21636310']"
['Casual Dining'],"[""Juno's Pizza""]",['3.6'],['162 votes'],['142 reviews'],['Pizza'],['Borivali West'],"['Shop 2-3, Ground Floor, Narayan Villa, Haridas Nagar, Shimpoli Road, Borivali West, Mumbai']",['\xe2\x82\xb9600'],['11 AM to 11 PM (Mon-Sun)'],['empty'],['022 33126078']
['Casual Dining'],['Wazwaan'],['3.1'],['173 votes'],['116 reviews'],"['North Indian', 'Chinese', 'Mughlai', 'Seafood']",['Marol'],"['Sanjana Apartment, Near Lok Darshan & Lok Sarita, Military Road, Marol, Mumbai']",['\xe2\x82\xb9500'],"['11:30 AM to 3:45 PM, 6:30 PM to 11:45 PM (Mon-Sun)']",['empty'],"['022 29204422, 022 66941144']"
['Casual Dining'],['Upper Deck Resto-Bar'],['3.6'],['82 votes'],['47 reviews'],"['North Indian', 'Continental', 'Chinese']","['Haware Centurion Mall, Seawoods']","['T-25, 3rd Floor, Centurian Mall, Sector 19A, Seawoods, Navi Mumbai']","['\xe2\x82\xb91,400']",['11 AM to 11 PM (Mon-Sun)'],['empty'],['022 33956123']
['Casual Dining'],"[""Ching's""]",['3.1'],['164 votes'],['95 reviews'],"['Mughlai', 'Chinese', 'North Indian']",['Kopar Khairane'],"['4, Plot 1, Sankalp CHS, Kopar Khairane, Navi Mumbai']",['\xe2\x82\xb9600'],"['11:30 AM to 3:30 PM, 7 PM to 11:30 PM (Mon-Sun)']",['empty'],"['022 32581153, +91 9821170891']"
"['Casual Dining', ',', 'Bar']",['The Hill Green'],['3.4'],['143 votes'],['109 reviews'],"['Chinese', 'North Indian', 'Thai', 'Mexican', 'Italian']",['Vikhroli'],"['Unit 2, Kailash Business Park, Powai-Vikhroli Link Road, Vikhroli, Mumbai']","['\xe2\x82\xb91,200']",['8 AM to 1 AM (Mon-Sun)'],['Get 10% off all home-delivery. Valid only when you order online on Zomato.'],['022 33956197']
['Casual Dining'],['Salad Days'],['3.8'],['212 votes'],['151 reviews'],"['Healthy Food', 'Beverages']","['7 Bungalows, Andheri West']","['Shop 4, Gautam View CHS, Opposite Axis Bank, 7 Bungalows, Andheri West']",['\xe2\x82\xb9700'],"['9 AM to 12 Midnight (Mon-Fri),11 AM to 12 Midnight...']",['empty'],"['022 40244040, +91 8655472523']"
['Casual Dining'],['City Star'],['3.2'],['170 votes'],['93 reviews'],"['North Indian', 'Mughlai', 'Chinese']",['Malad East'],"['New Mukadam Compound, Opposite Sudha Hospital, Near Gokuldham, Film City Road, Malad East, Mumbai']",['\xe2\x82\xb9650'],['9 AM to 1 AM (Mon-Sun)'],['empty'],"['022 28424239, 022 28420007']"
['Dessert Parlor'],['Taj Icecream'],['4.5'],['174 votes'],['104 reviews'],"['Desserts', 'Ice Cream']",['Mohammad Ali Road'],"['36 Near JJ Hospital, Bohri Mohalla, Khara Tank Road, Bhendi Bazar, Byculla, Mumbai']",['\xe2\x82\xb9150'],['10 AM to 11:30 PM (Mon-Sun)'],['Ice cream'],"['022 23461257, +91 9820635292']"
['Casual Dining'],['Wok In The Box'],['3.3'],['166 votes'],['112 reviews'],"['Chinese', 'Asian']",['Bandra Kurla Complex'],"['C 308, 3rd Floor, The Capital, Plot C 70, G Block, Bandra Kurla Complex, Mumbai']",['\xe2\x82\xb9400'],"['11 AM to 6 PM (Mon-Sat),Closed (Sun)']",['empty'],['022 65964555']
['Casual Dining'],['Sadanand Coffee House'],['3.5'],['198 votes'],['94 reviews'],"['South Indian', 'North Indian', 'Chinese', 'Fast Food', 'Beverages']",['Worli'],"['108, Neelam Building, Dr RG Tadhani Marg, Worli, Mumbai']",['\xe2\x82\xb9350'],['7 AM to 11:30 PM (Mon-Sun)'],['empty'],"['022 24927009, 022 24937409']"
['Casual Dining'],['Chulha  Restrobar'],['3.3'],['130 votes'],['111 reviews'],"['North Indian', 'Chinese', 'Thai']","['Manpada, Thane West']","['Gala-F1/1&2, Kothari Warehouse, SV Road Chitaslasr, Manpada, Thane West']","['\xe2\x82\xb91,000']","['12 Noon to 4 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],['022 33126042']
['Casual Dining'],['Golden Chariot'],['3.3'],['199 votes'],['109 reviews'],"['Chinese', 'North Indian', 'Mughlai']","['The Hub Mall, Goregaon East']","['2nd Floor, The Hub Mall, Western Express Highway, Goregaon East, Mumbai']","['\xe2\x82\xb91,400']","['12 Noon to 3:30 PM, 6:30 PM to 12 Midnight...']",['empty'],"['022 67988790, 022 67988777']"
['Casual Dining'],['Landmark Veg Fine Dine'],['3.5'],['215 votes'],['110 reviews'],"['North Indian', 'Chinese']",['Malad West'],"['Landmark Residency, Adarsh Road, Liberty Garden Road, Opposite S.N.D.T College, Malad West, Mumbai']",['\xe2\x82\xb9800'],"['11 AM to 4 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],"['+91 7506097937, +91 7506097947']"
['Casual Dining'],['Mao Family Restaurant'],['3.5'],['146 votes'],['94 reviews'],"['Mughlai', 'North Indian', 'Chinese', 'Seafood']",['Kalbadevi'],"['534/536, Opposite Sunlight, Near Metro Theatre, Dhobitalao, Lohar Chawl, Kalbadevi, Mumbai']",['\xe2\x82\xb9600'],['11 AM to 11 PM (Mon-Sun)'],['empty'],['022 22059860']
['Casual Dining'],['Blue Flame - United 21'],['2.4'],['165 votes'],['82 reviews'],['Continental'],"['Hotel United 21, Thane']","['Hotel United 21, 29, LBS Marg, Gokul Nagar, Azad Nagar, Khopat, Thane West']","['\xe2\x82\xb91,700']",['7 AM to 3 AM (Mon-Sun)'],['T&C'],"['022 41579999, 022 61165999']"
['empty'],['Pravas'],['3.1'],['5 votes'],['5 reviews'],['Gujarati'],['Lower Parel'],"['4, Kamla Mill Compound, Lower Parel, Mumbai']","['\xe2\x82\xb91,200']","['12 Noon to 3 PM, 7 PM to 11:45 PM (Mon-Sun)']",['empty'],['022 30150853']
['Casual Dining'],['Sheetal Grille - Royal Inn'],['3.8'],['196 votes'],['97 reviews'],"['Mughlai', 'Chinese', 'North Indian', 'Seafood']","['Castle Mill, Thane West']","['Royal Inn, Old Agra Road, Near Castle Mill Circle, Castle Mill, Thane West']","['\xe2\x82\xb91,000']","['11:30 AM to 4 PM, 7 PM to 12 Midnight (Mon-Sun)']",['On the outskirts'],"['022 21724422, 022 21724433']"
['Fine Dining'],['Yuuka - The St. Regis Mumbai'],['4.1'],['121 votes'],['64 reviews'],['Japanese'],"['The St. Regis, Lower Parel']","['The St. Regis, 462, Senapati Bapat Marg, Lower Parel, Mumbai']","['\xe2\x82\xb98,000']","['12 Noon to 3 PM, 7 PM to 12 Midnight (Mon-Sun)']",['Super sushi'],['022 30151995']
['Quick Bites'],['Biryaan'],['2.7'],['169 votes'],['115 reviews'],"['Biryani', 'Fast Food', 'North Indian']",['Kandivali East'],"['Shop 14/15A, 2 Saraf Chaudhari Nagar Thakur Complex, Kandivali East, Mumbai']",['\xe2\x82\xb9500'],"['11 AM to 4 PM, 7 PM to 10:45 PM (Mon-Sun)']",['empty'],['+91 9699300300']
['Casual Dining'],['King Chilli'],['3.2'],['196 votes'],['107 reviews'],"['Thai', 'Asian', 'Chinese']",['Near Andheri East Station'],"['2, Koteshwar Palace, Jiva Mahale Road, Near Andheri East Station, Mumbai']",['\xe2\x82\xb9800'],"['12 Noon to 11:30 PM (Mon-Sat),12 Noon to 11:28 PM (Sun)']",['Get 15% off all home-delivery orders above Rs. 200. Valid only when you order online on Zomato.'],['022 33956084']
['Pub'],"[""Agent Jack's""]",['3.8'],['48 votes'],['44 reviews'],"['Italian', 'Chinese']",['Malad West'],"['1st Floor, Palm Springs, Near Croma, Malad West, Mumbai']","['\xe2\x82\xb91,500']",['5 PM to 1:30 AM (Mon-Sun)'],['Newly opened'],"['022 66710679, 022 66710690']"
['Casual Dining'],['Vasant Sagar'],['3.6'],['209 votes'],['114 reviews'],"['Fast Food', 'Street Food', 'South Indian', 'Chinese', 'Beverages']",['Nariman Point'],"['Opposite Shipping Corporation of India, Free Press Journal Marg, Nariman Point, Mumbai']",['\xe2\x82\xb9500'],"['9 AM to 12 Midnight (Mon-Sat),5 PM to 12 Midnight (Sun)']",['empty'],"['022 22025765, 022 22834919']"
['empty'],"[""Pandora's Box""]",['3.9'],['73 votes'],['63 reviews'],"['Continental', 'Street Food']",['Fort'],"['Ground floor, Bake House, Behind Rhythm House, Kalaghoda, Fort, Mumbai Fort']",['\xe2\x82\xb9450'],['12 Noon to 4 AM (Mon-Sun)'],['empty'],['022 30151167']
['Casual Dining'],['Pizzaroma'],['3.2'],['189 votes'],['103 reviews'],"['Italian', 'Pizza']","['Andheri Lokhandwala, Andheri West']","['44, Laxmi Plaza, Next to Lata Spa, Sab TV Lane, Andheri Lokhandwala, Andheri West, Mumbai']",['\xe2\x82\xb9750'],['12 Noon to 12 Midnight (Mon-Sun)'],['Gourmet pizza'],['022 30150814']
['empty'],['Pack-A-Pav'],['4.4'],['129 votes'],['97 reviews'],['Street Food'],"['Pali Hill, Bandra West']","['Shop 2, St. Andrews Road, Near New India General Store, Pali Hill, Bandra West']",['\xe2\x82\xb9500'],['12 Noon to 11 PM (Mon-Sun)'],['empty'],"['+91 9920230240, +91 9920661222']"
['Casual Dining'],['Sadanand'],['3.8'],['153 votes'],['100 reviews'],"['Street Food', 'North Indian', 'South Indian', 'Chinese', 'Beverages']",['Mumbai CST Area'],"['Lokmanya Tilak Marg, Crawford Market, Mumbai CST Area, Mumbai']",['\xe2\x82\xb9700'],"['9 AM to 10:30 PM (Mon-Sat),Closed (Sun)']",['empty'],"['022 66333360, +91 9004229547']"
['Casual Dining'],['Cafe Alfa'],['3.5'],['193 votes'],['109 reviews'],"['North Indian', 'Chinese', 'Fast Food']",['Near Andheri West Station'],"['188, SV Road, Narco Shopping Center, Near Andheri West Station, Mumbai']",['\xe2\x82\xb9600'],"['10 AM to 4 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],['022 26286875']
"['Casual Dining', ',', 'Bar']",['Kings White Castle'],['3.7'],['54 votes'],['44 reviews'],"['Continental', 'North Indian', 'Thai', 'Chinese']","['Owale, Thane West']","['Near Mahindra Showroom, Godhbunder Road, Ovala Naka, Owale, Thane West']","['\xe2\x82\xb91,300']",['12 Noon to 1:30 AM (Mon-Sun)'],"[""Valentine's Day Specials"", 'Sheesha lounges', 'Newly opened']",['022 33126945']
['Casual Dining'],['Sujata Veg Treat'],['3.5'],['216 votes'],['106 reviews'],"['Fast Food', 'North Indian', 'South Indian', 'Biryani', 'Beverages']",['Dadar West'],"['Gokhale Road & Ranade Road Junction, Dadar West, Mumbai']",['\xe2\x82\xb9450'],['7 AM to 11:30 PM (Mon-Sun)'],['empty'],"['022 24307808, 022 24364688']"
['empty'],['Gyros'],['3.2'],['258 votes'],['143 reviews'],"['Greek', 'Salad', 'Healthy Food']","['Oshiwara, Andheri West']","['Shop 271, Snehanjali Cooperative Housing Society, Oshiwara, Andheri West']",['\xe2\x82\xb9800'],"['12 Noon to 4 PM, 8 PM to 11 PM (Mon-Sat),Closed (Sun)']",['empty'],"['+91 9833007837, +91 9833007648']"
['Quick Bites'],['Faasos'],['3.1'],['207 votes'],['118 reviews'],"['Fast Food', 'North Indian']","['Oshiwara, Andheri West']","['1, Building 26, MHADA Building, Opposite Meera Towers, New Link Road, Oshiwara, Andheri West, Mumbai']",['\xe2\x82\xb9500'],['9 AM to 11 PM (Mon-Sun)'],['Get 15% off all home-delivery orders above Rs. 199. Maximum discount up to Rs. 100. Valid only when you order online on Zomato.'],['022 61344821']
['Food Court'],['Biryani House'],['3.5'],['150 votes'],['101 reviews'],"['North Indian', 'Biryani']","['Viviana Mall, Majiwada, Thane West']","['2nd Floor, Viviana Mall, Eastern Express Highway, Near Jupiter Hospital, Majiwada, Thane West']",['\xe2\x82\xb9550'],['11 AM to 11 PM (Mon-Sun)'],['empty'],"['022 61701052, +91 8425955786']"
['Casual Dining'],['Suruchi'],['3.3'],['158 votes'],['86 reviews'],"['South Indian', 'Fast Food', 'Chinese', 'North Indian']",['Kandivali East'],"['Anant Apartment, Thakur Complex, Kandivali East, Mumbai']",['\xe2\x82\xb9500'],['8 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 28543747, 022 28545972']"
['Casual Dining'],['Tazza'],['3.6'],['181 votes'],['97 reviews'],"['Chinese', 'Fast Food', 'North Indian', 'Street Food']",['Mahim'],"['59, Rehmat Manzil, Lady Jamshedji Road, Mahim, Mumbai']",['\xe2\x82\xb9400'],['11 AM to 11:30 PM (Mon-Sun)'],['empty'],"['022 24472222, 022 24452333']"
['Pub'],['Hangover Sports Bar'],['3.3'],['153 votes'],['82 reviews'],"['Continental', 'Mexican']",['Kalyan'],"['Spring Avenue, Near Cinemax Booking Counter, Khadakpada, Kalyan West, Kalyan, Mumbai']","['\xe2\x82\xb91,200']",['11 AM to 12:30 AM (Mon-Sun)'],['empty'],['0251 2235961']
['empty'],['Nawab House'],['3.6'],['276 votes'],['166 reviews'],['Biryani'],['Powai'],"['Shop No. 7, Adarsh Niwas, Near Mukteshwar Ashram, Powai, Powai, Mumbai']",['\xe2\x82\xb9250'],['12 Noon to 12 Midnight (Mon-Sun)'],['Brilliant biryanis'],"['+91 8080809511, +91 8080809522']"
['Casual Dining'],['Plush Retreat'],['3.7'],['154 votes'],['99 reviews'],"['North Indian', 'Chinese', 'Seafood']",['Dombivali East'],"['Hedutane Gaon, Ambernath-Badlapur Pipeline Road, Near Katai Naka, Dombivali East, Mumbai']","['\xe2\x82\xb91,050']","['8 AM to 11 AM, 11:30 AM to 12 Midnight (Mon-Sun)']",['On the outskirts'],['022 30151737']
['Casual Dining'],['Santosh Sagar'],['3.9'],['196 votes'],['92 reviews'],"['Fast Food', 'South Indian', 'Chinese']",['Malabar Hill'],"['6, Matru Ashish, Napean Sea Road, Malabar Hill, Mumbai']",['\xe2\x82\xb9550'],['9 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 23631199, 022 23640099']"
['Casual Dining'],['Amritsari Kulcha Junction'],['3.5'],['182 votes'],['132 reviews'],"['Street Food', 'North Indian']",['Mahakali'],"['Shop 1, Opposite Takshila Gate 2, Mahakali Caves, Mahakali, Mumbai']",['\xe2\x82\xb9550'],['9 AM to 11:30 PM (Mon-Sun)'],['empty'],"['022 28254811, +91 9820271901']"
['Caf\xc3\xa9'],"[""Pishu's""]",['3.6'],['122 votes'],['102 reviews'],"['Cafe', 'Juices', 'Healthy Food', 'Beverages', 'Fast Food']",['Juhu'],"['Shop 2, Om Vithoba Rukmani Apartments, Near ISCON Temple, Juhu Road, Juhu, Mumbai']",['\xe2\x82\xb9550'],['10:30 AM to 12:30 AM (Mon-Sun)'],['empty'],['022 33716007']
['Casual Dining'],['Flavors'],['3.7'],['106 votes'],['74 reviews'],"['North Indian', 'Continental', 'Asian']","['Hotel Yogi Metropolitan, Sanpada']","['Hotel Yogi Metropolitan, Opposite Sanpada Railway Station, Sector 24, Sanpada, Navi Mumbai']","['\xe2\x82\xb91,500']","['12 Noon to 4 PM, 7 PM to 12 Midnight (Mon-Sun)']",['Get 10% off all home-delivery orders above Rs. 400. Valid only when you order online on Zomato.'],['022 61344975']
['Casual Dining'],['Konkan Chilly'],['3.3'],['208 votes'],['152 reviews'],"['Konkan', 'North Indian', 'Chinese', 'Biryani']",['Malad West'],"['2, Ganga Niwas, Opposite Evershine Mall, Mindspace, Chincholi Bunder, Malad West, Mumbai']",['\xe2\x82\xb9750'],"['12 Midnight to 1 AM, 12 Noon to 12 Midnight...']",['empty'],['022 30151586']
['Casual Dining'],['The Pizzaman'],['2.7'],['145 votes'],['95 reviews'],"['Italian', 'Fast Food', 'Chinese', 'Pizza']",['Vasai'],"['43, Samtanagar, Gokul Park, Vasai West, Vasai, Mumbai']",['\xe2\x82\xb9600'],['10:30 AM to 10:30 PM (Mon-Sun)'],['empty'],"['022 3207066, 022 6453883']"
['Casual Dining'],['Cafe Marol'],['2.8'],['165 votes'],['90 reviews'],"['North Indian', 'Mughlai', 'Chinese']",['Marol'],"['1/3, Everjoy Apartments, Marol Moroshi Road, Marol, Mumbai']",['\xe2\x82\xb9550'],['8:30 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 29201384, 022 29208184']"
['Casual Dining'],['O Terii Da Dhaba'],['3.3'],['179 votes'],['108 reviews'],"['North Indian', 'Chinese']",['Vile Parle East'],"['Shop 2, Rama Niwas, Junction of Hanuman Road & Sant Janabai Road, Vile Parle East, Mumbai']",['\xe2\x82\xb9700'],"['12 Noon to 4 PM, 7 PM to 12 Midnight (Mon-Sun)']",['empty'],"['022 26631230, +91 8080664473']"
['Casual Dining'],['Shalimar'],['3.1'],['192 votes'],['115 reviews'],"['North Indian', 'Chinese', 'Mughlai']",['Vashi'],"['A 7, Sector 19C, Agarwal Chambers, APMC Market Road, Vashi, Navi Mumbai']",['\xe2\x82\xb9700'],['12 Noon to 12 Midnight (Mon-Sun)'],['empty'],"['022 27836767, 022 27836768']"
['Casual Dining'],['Sip & Bitesss'],['3.4'],['163 votes'],['105 reviews'],"['Italian', 'Chinese', 'Continental', 'Thai']",['Nerul'],"['Shop 2, F1 Paradise Apartment, Opposite SIES College, Sector 3, Nerul, Navi Mumbai']",['\xe2\x82\xb9800'],"['10 AM to 11 PM (Mon-Sat),4 PM to 11 PM (Sun)']",['empty'],"['00 2269993636, +91 9870761135']"
['Casual Dining'],['Maharaja Thaal'],['3.7'],['86 votes'],['74 reviews'],['Gujarati'],['Vashi'],"['7, Satra Plaza, Ground Floor, Sector 19D, Vashi, Navi Mumbai']",['\xe2\x82\xb9300'],"['12 Noon to 3:30 PM, 7 PM to 11 PM (Mon-Sun)']",['empty'],['022 38562114']
['Fine Dining'],['The Brasserie - Hilton Mumbai International Airport'],['3.5'],['84 votes'],['58 reviews'],"['North Indian', 'French', 'Italian', 'Continental']","['Hilton Mumbai International Airport, Chakala']","['Hilton Mumbai International Airport, Sahar International Airport Road, Chakala, Mumbai']","['\xe2\x82\xb94,500']",['7 AM to 1 AM (Mon-Sun)'],['empty'],['022 28380000']
['Casual Dining'],['Delicacy Of China'],['3.4'],['167 votes'],['96 reviews'],"['Chinese', 'Thai']","['Oshiwara, Andheri West']","['7, Annpurna Building, Near Adarsh Nagar Signal, Oshiwara, Andheri West']",['\xe2\x82\xb9550'],['12 Noon to 12 Midnight (Mon-Sun)'],['empty'],"['022 26358245, 022 65641111']"
['Casual Dining'],['Konkan Swad'],['3.5'],['188 votes'],['104 reviews'],"['Konkan', 'Seafood']",['Goregaon West'],"['4, MG Road, Bangur Nagar Junction, Goregaon West, Mumbai']",['\xe2\x82\xb9500'],"['11 AM to 3:30 PM, 7 PM to 12:30 AM (Mon-Sun)']",['empty'],['022 28777130']
['Casual Dining'],"[""Kareem's""]",['3.0'],['192 votes'],['143 reviews'],"['North Indian', 'Mughlai']",['Goregaon East'],"['12/B, Sattelite Tower, Sattelite Garden Phase 2, Film City Road, Goregaon East, Mumbai']",['\xe2\x82\xb9700'],"['11:30 AM to 4 PM, 6:30 PM to 11:30 PM (Mon-Sun)']",['Get 10% off on dine-in orders above Rs. 300. Maximum discount up to Rs. 200.'],['022 33956146']
['Quick Bites'],['THC'],['Temporarily Closed'],['empty'],['171 reviews'],"['Mexican', 'Burger', 'Desserts', 'Beverages', 'Salad', 'Tex-Mex']","['Hill Road, Bandra West']","['Shop 2, Mohammadi House, Saint Martin Road, Hill Road, Bandra West']",['\xe2\x82\xb9700'],['empty'],['empty'],['022 26411921']
['Casual Dining'],['Swadesh'],['2.4'],['167 votes'],['71 reviews'],"['North Indian', 'Chinese', 'South Indian', 'Fast Food', 'Beverages']","['7 Bungalows, Andheri West']","['Sea Glimpse CHS, Seven Bungalow, 7 Bungalows, Andheri West']",['\xe2\x82\xb9550'],['8 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 26340210, 022 65269018']"
['Casual Dining'],['The Blue'],['3.8'],['37 votes'],['31 reviews'],"['Asian', 'Thai', 'Japanese']","['Pali Hill, Bandra West']","['Shop 1, Sai Pooja Building, 16th Road & 33rd Road Junction, Pali Hill, Bandra West']","['\xe2\x82\xb91,500']","['12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon, Sat...']","['Newly opened', 'Trending this week']",['022 33951655']
['Casual Dining'],['Navgraha Pure Veg.'],['3.4'],['152 votes'],['82 reviews'],"['Chinese', 'Street Food', 'North Indian', 'South Indian', 'Beverages']",['Chembur'],"['GM Road, Opposite Shoppers Stop, Chembur, Mumbai']",['\xe2\x82\xb9500'],['9 AM to 11:30 PM (Mon-Sun)'],['empty'],"['022 25252435, 022 25253743']"
['Quick Bites'],['Hare Rama Hare Krishna'],['3.5'],['139 votes'],['79 reviews'],"['North Indian', 'South Indian', 'Street Food', 'Beverages']",['Chakala'],"['82, MV Road, Near Cine Max Cinema, Andheri East, Chakala, Mumbai']",['\xe2\x82\xb9400'],['8 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 26837847, 022 26837490']"
['Caf\xc3\xa9'],['Sweetest Sin'],['3.4'],['69 votes'],['59 reviews'],"['Cafe', 'Bakery', 'Desserts', 'Fast Food', 'Healthy Food', 'Italian', 'Juices']",['Borivali West'],"['Shop No. 6, Kent Garden Tower, Ground Floor, Near M.K School, Factory Lane, Borivali West, Mumbai.']",['\xe2\x82\xb9500'],['11 AM to 10:30 PM (Mon-Sun)'],['empty'],"['+91 9833623354, +91 9833579622']"
['Casual Dining'],"[""Saboo's""]",['3.8'],['174 votes'],['138 reviews'],"['American', 'Italian', 'Thai']",['Kamothe'],"[""Shop 6, Plot 13, Today's Shivam CHS, Sector 21, Kamothe, Navi Mumbai""]",['\xe2\x82\xb9700'],['11:30 AM to 11 PM (Mon-Sun)'],['Get 20% off all home-delivery orders above Rs. 150. Valid only when you order online on Zomato.'],"['+91 8879466227, +91 8879466229']"
['Casual Dining'],['Blue Park'],['3.5'],['166 votes'],['84 reviews'],"['Chinese', 'North Indian', 'South Indian', 'Street Food', 'Beverages']","['7 Bungalows, Andheri West']","['9, Janakdeep, JP Road, 7 Bungalows, Andheri West']",['\xe2\x82\xb9500'],['9 AM to 12 Midnight (Mon-Sun)'],['empty'],"['022 26362543, 022 26362955']"
